Brand,Model,Body,Country,Condition,Fuel_Type,Gearbox,Horsepower,Seats,Doors,Color,Full_Service_History,Non_Smoker_Vehicle,Seller,Vehicle_Age,Annual_Distance_Avg,Market_Segment,Classic_Vehicle
24,743,3,7,1,4,0,136,5,5,11,False,0,0,2,3522.5,1,0
36,1079,6,0,1,1,0,200,5,4,1,True,0,0,5,3636.0,2,0
18,664,3,3,1,2,0,407,5,5,7,False,0,0,7,4228.571428571428,1,0
15,548,5,1,1,1,1,95,5,5,11,True,1,0,12,10416.666666666666,2,0
42,806,5,2,1,2,0,498,5,4,13,True,1,0,2,21767.0,1,0
21,662,2,6,1,6,0,640,2,2,12,True,0,0,4,6137.75,0,0
34,55,6,6,1,1,0,120,5,5,2,False,0,0,9,23365.33333333333,2,0
38,213,3,6,1,6,1,95,5,5,1,True,0,0,6,20461.166666666668,2,0
13,156,2,7,1,6,0,799,2,2,7,False,0,0,8,3750.0,0,0
13,86,2,6,1,6,0,510,2,2,9,True,1,0,17,287.3529411764706,0,0
17,666,5,2,1,6,1,101,5,5,9,False,0,0,6,4080.6666666666665,2,0
16,336,5,2,1,6,1,329,4,5,1,True,1,0,3,916.6666666666666,2,0
18,482,3,4,1,4,0,200,5,5,7,True,0,0,5,9400.0,1,0
18,534,3,4,1,1,2,179,5,5,7,False,0,0,7,11857.142857142857,1,0
39,731,3,2,1,6,0,190,5,5,13,True,1,0,4,29455.0,2,0
36,1079,5,1,1,1,0,160,5,4,2,True,1,0,6,11868.666666666666,2,0
18,534,3,2,1,6,0,400,5,4,7,True,1,0,5,11800.0,1,0
7,723,5,6,1,6,0,94,5,4,7,False,0,0,21,6827.666666666667,2,0
26,50,5,2,1,4,1,179,5,4,9,False,0,0,5,3829.4,2,0
21,1130,3,4,1,4,0,799,5,5,10,True,0,0,1,7100.0,0,0
18,800,4,6,1,8,0,211,5,4,9,False,0,0,66,372.6060606060606,1,1
33,414,3,1,1,6,0,131,5,5,7,True,1,0,6,12371.833333333334,2,0
13,647,2,7,1,6,0,610,2,3,6,False,0,0,5,3840.0,0,0
22,1211,0,4,1,4,1,69,4,5,2,True,1,0,4,18500.0,2,0
30,366,0,1,1,6,1,136,5,5,13,True,0,0,6,6959.666666666667,1,0
8,282,5,4,1,6,1,101,5,5,1,False,0,0,1,17331.0,2,0
38,749,5,1,1,4,0,150,5,5,1,True,0,0,6,6666.666666666667,2,0
45,1186,3,0,1,4,0,163,5,5,7,True,1,0,1,100.0,1,0
1,1042,3,2,1,6,0,510,5,5,6,False,0,0,3,20554.666666666668,1,0
36,988,8,1,1,6,1,116,5,5,1,False,0,0,4,15236.5,2,0
12,327,2,2,1,8,0,309,4,3,1,False,1,0,8,12000.0,2,0
41,678,0,2,1,6,1,83,5,4,9,True,1,0,2,6500.0,2,0
44,1061,3,4,1,6,1,110,5,5,11,False,0,0,3,11432.333333333334,2,0
21,228,1,6,1,6,0,740,2,2,2,False,0,0,8,2264.75,0,0
41,203,0,6,1,6,1,68,4,5,13,True,0,0,15,13390.066666666668,2,0
1,1098,3,4,1,4,2,160,5,5,1,False,1,0,1,1.0,1,0
0,139,0,4,1,6,1,190,2,3,9,True,1,0,9,4875.444444444444,2,0
25,750,3,3,1,6,0,430,5,5,1,True,0,0,8,6800.0,0,0
13,939,2,7,1,6,0,0,5,4,7,False,0,0,1,8711.0,0,0
7,399,1,3,1,6,1,220,2,2,13,False,0,0,69,1388.4057971014493,2,1
42,806,5,7,1,2,0,283,5,4,2,False,0,0,3,15363.333333333334,1,0
7,313,3,2,1,8,1,167,7,4,7,False,1,0,14,16577.214285714286,2,0
24,1132,3,4,1,4,0,152,5,5,13,False,0,0,4,17500.0,1,0
36,347,5,4,1,6,1,67,5,5,11,False,0,0,5,11356.4,2,0
12,328,5,8,1,6,0,492,5,4,13,False,1,1,7,19571.42857142857,2,0
11,457,3,0,1,6,0,150,5,4,7,True,0,0,4,9235.5,2,0
21,1130,3,6,1,6,0,650,5,5,14,True,0,0,5,10902.0,0,0
40,0,5,0,1,2,0,272,5,5,1,False,0,0,3,4377.333333333333,2,0
15,734,3,4,1,1,0,120,5,5,13,False,0,0,4,24025.5,2,0
5,81,2,2,1,1,0,190,5,5,7,False,0,0,3,25520.666666666668,1,0
31,1024,0,2,1,6,1,71,5,4,13,False,1,0,5,4862.0,2,0
42,809,3,2,1,2,0,514,5,5,1,True,1,0,2,21908.5,1,0
4,547,5,2,1,6,0,549,4,4,2,True,1,0,2,10.0,0,0
36,347,5,1,1,6,1,91,5,5,7,True,1,0,5,10197.6,2,0
15,814,5,1,1,1,1,136,5,5,2,False,0,0,12,10750.0,2,0
5,9,5,2,1,6,0,136,5,5,1,True,1,0,3,5007.0,1,0
0,118,5,2,1,6,1,145,4,3,1,False,0,0,5,9292.0,2,0
8,282,5,4,1,6,1,83,5,5,1,True,1,0,2,5308.5,2,0
44,675,3,2,1,2,0,170,5,5,13,True,1,0,4,14055.75,2,0
4,363,2,3,1,6,0,635,4,2,7,True,0,0,8,5275.0,0,0
41,1055,0,6,1,6,1,92,5,5,7,True,0,0,16,10681.3125,2,0
17,1121,3,4,1,1,1,116,5,5,7,False,0,0,10,13260.0,2,0
3,905,3,2,1,1,0,163,5,4,7,True,1,0,9,8888.888888888889,1,0
36,314,3,2,1,6,0,158,5,4,9,True,1,0,4,3549.25,2,0
4,363,1,7,1,6,0,635,4,2,13,False,0,0,10,3141.6,0,0
1,1029,2,4,1,6,1,150,2,2,11,False,0,0,30,1666.6666666666667,1,1
45,1141,6,7,1,4,0,197,5,5,1,False,0,0,5,19972.4,1,0
5,81,5,2,1,1,0,190,5,4,7,True,1,0,4,15143.25,1,0
8,294,3,2,1,4,0,145,5,5,1,False,1,0,1,10.0,2,0
43,223,0,6,1,4,0,136,5,5,7,True,0,0,15,12727.933333333332,2,0
36,783,5,4,1,1,1,131,5,5,7,True,0,0,9,24000.0,2,0
15,240,8,2,1,6,1,101,5,5,9,False,0,0,9,9621.0,2,0
32,909,3,6,1,6,1,114,5,5,7,True,0,0,19,10473.368421052632,2,0
42,809,3,2,1,2,0,514,5,5,13,False,1,0,5,28220.0,1,0
25,750,3,2,1,6,0,581,5,5,7,True,1,0,6,13319.166666666666,0,0
18,1191,5,2,1,1,0,204,5,4,1,True,1,0,5,16908.2,1,0
14,94,0,4,1,4,1,69,4,3,7,True,1,0,5,8800.0,2,0
1,1042,3,4,1,6,0,280,5,5,9,True,1,0,9,8297.333333333334,1,0
1,26,4,4,1,6,1,220,5,4,10,False,0,0,24,7025.25,1,0
25,636,2,4,1,6,2,460,2,2,9,True,1,0,14,6428.571428571428,0,0
28,268,2,2,1,1,0,204,4,2,9,False,1,0,10,8769.8,1,0
9,301,1,2,1,6,0,481,2,2,13,True,1,0,3,2528.333333333333,0,0
12,919,3,1,1,8,0,401,5,4,0,False,0,0,10,18900.0,2,0
21,662,2,7,1,6,0,617,2,2,1,False,0,0,11,4727.272727272727,0,0
4,245,3,6,1,1,0,435,4,5,7,True,0,0,7,26246.0,0,0
29,1220,5,3,1,6,1,160,5,3,7,False,0,0,25,4400.0,2,1
24,515,5,1,1,4,0,178,5,4,7,True,1,0,2,15253.0,1,0
40,554,0,2,1,6,0,71,2,2,13,True,1,0,16,4459.6875,2,0
39,729,3,2,1,6,0,150,5,5,1,True,1,0,2,8944.0,2,0
22,442,5,4,1,1,1,120,5,5,0,True,1,0,14,17857.14285714286,2,0
41,678,0,6,1,6,1,90,4,5,8,False,0,0,9,13862.111111111111,2,0
